Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Unprovoked,United States,Alabama,Swimming,M,17,No,April,2022,Unknown,Leg / Foot
Unprovoked,United States,Florida,Other,M,,No,April,2022,Great White Shark,Unspecified / Multiple
Provoked,United States,New Jersey,Swimming,F,12,No,April,2022,Bull Shark,Hand / Fingers
Unprovoked,United States,Florida,Boating,M,,No,April,2022,Unknown,Unspecified / Multiple
Unconfirmed,South Africa,KZN,Unknown,M,,Unknown,April,2022,Unknown,Unspecified / Multiple
Provoked,United States,Florida,Fishing,M,,No,March,2022,Unknown,Unspecified / Multiple
Unprovoked,Colombia,Isla De San Andres,Swimming,M,56,Yes,March,2022,Tiger Shark,Unspecified / Multiple
Unprovoked,New Zealand,South Island,Surfing,M,,No,March,2022,Unknown,Unspecified / Multiple
Unprovoked,Australia,New South Wales,Surfing,M,32,No,March,2022,Bull Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Swimming,M,,No,March,2022,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,20,No,March,2022,Unknown,Leg / Foot
Provoked,United States,Florida,Fishing,M,21,No,March,2022,Blacktip Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Surfing,M,,No,March,2022,Unknown,Unspecified / Multiple
Unprovoked,United States,California,Surfing,M,42,Yes,February,2022,Great White Shark,Unspecified / Multiple
Unconfirmed,Bahamas,Grand  Bahama Island,Diving,M,51,No,February,2022,Unknown,Arm
Unprovoked,Australia,Queensland,Fishing,M,,No,February,2022,Tiger Shark,Leg / Foot
Unprovoked,Australia,New South Wales,Swimming,M,36,Yes,February,2022,Unknown,Unspecified / Multiple
Unprovoked,Mexico,Sonora,Surfing,M,56,Yes,February,2022,Great White Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,18,No,February,2022,Unknown,Leg / Foot
Provoked,Bahamas,,Unknown,F,37,No,February,2022,Nurse Shark,Unspecified / Multiple
Unconfirmed,Costa Rica,Guanacoste,Diving,F,50,Unknown,February,2022,Bull Shark,Arm
Unprovoked,Australia,Western Australia,Swimming,F,20,No,February,2022,Great White Shark,Body / Abdomen
Unprovoked,Australia,New South Wales,Swimming,M,,No,January,2022,Wobbegong Shark,Leg / Foot
